Step,North,East,South,West,SelectedGroup,YOLO_Total,Fused_Total,GreenTime
467,5,0,0,2,north,0,7,25
468,5,0,0,3,north,0,8,25
469,5,0,0,3,west,0,8,15
470,5,0,0,2,north,0,7,25
471,5,0,0,2,north,0,7,25
472,5,0,0,2,west,0,7,12
473,5,0,0,2,north,0,7,25
474,5,0,0,2,north,0,7,25
475,5,0,0,2,west,0,7,12
476,5,0,0,3,north,0,8,25
477,5,0,0,2,north,0,7,25
478,5,0,0,2,west,0,7,12
479,5,0,0,2,north,0,7,25
480,5,0,0,3,north,0,8,25
481,5,0,0,3,west,0,8,15
482,5,0,0,3,north,0,8,25
483,5,0,0,3,north,0,8,25
484,5,0,0,3,west,0,8,15
485,5,0,0,2,north,0,7,25
486,5,0,0,2,north,0,7,25
487,5,0,0,2,west,0,7,12
488,5,0,0,2,north,0,7,25
489,5,0,0,2,north,0,7,25
490,5,0,0,2,west,0,7,12
491,5,0,0,3,north,0,8,25
492,5,0,0,2,north,0,7,25
493,5,0,0,2,west,0,7,12
494,5,0,0,3,north,0,8,25
495,5,0,0,2,north,0,7,25
496,5,0,0,2,west,0,7,12
497,5,0,0,2,north,0,7,25
498,5,0,0,2,north,0,7,25
499,5,0,0,2,west,0,7,12
500,5,0,0,3,north,0,8,25
501,5,0,0,3,north,0,8,25
502,5,0,0,3,west,0,8,15
503,5,0,0,3,north,0,8,25
504,5,0,0,4,north,0,9,25
505,5,0,0,3,west,0,8,15
506,5,0,0,3,north,0,8,25
507,5,0,0,3,north,0,8,25
508,5,0,0,3,west,0,8,15
509,5,0,0,3,north,0,8,25
510,5,0,0,4,north,0,9,25
511,5,0,0,4,west,0,9,20
512,5,0,0,3,north,0,8,25
513,5,0,0,3,north,0,8,25
514,5,0,0,2,west,0,7,12
515,5,0,0,1,north,0,6,25
516,5,0,0,1,north,0,6,25
517,5,0,0,1,west,0,6,12
518,5,0,0,0,north,0,5,25
519,5,0,0,0,north,0,5,25
520,5,0,0,0,north,0,5,25
521,5,0,0,0,north,0,5,25
522,5,0,0,0,north,0,5,25
523,5,0,0,0,north,0,5,25
524,5,0,0,0,north,0,5,25
525,5,0,0,0,north,0,5,25
526,5,0,0,0,north,0,5,25
527,5,0,0,0,north,0,5,25
528,5,0,0,0,north,0,5,25
529,5,0,0,0,north,0,5,25
